Unnamed: 0,carat,cut,color,clarity,depth,table,x,y,z,price
5815,2.0,Ideal,F,SI2,62.6,57.0,8.08,8.01,5.04,18172
1453,0.4,Ideal,I,VVS2,61.6,56.0,4.75,4.76,2.93,770
22766,0.31,Ideal,G,IF,61.7,56.0,4.38,4.34,2.69,988
16604,2.2,Premium,I,SI2,61.8,54.0,8.45,8.4,5.2,13719
24211,0.41,Ideal,F,VS1,62.1,56.0,4.77,4.8,2.97,1007
9670,0.31,Ideal,G,VVS1,61.9,55.0,4.38,4.41,2.72,789
1793,0.53,Ideal,E,VS2,61.8,56.0,5.17,5.21,3.21,1676
23892,1.09,Premium,G,SI1,61.8,59.0,6.59,6.53,4.06,4322
17963,0.4,Premium,G,VVS1,60.3,58.0,4.83,4.79,2.9,1155
6736,1.08,Premium,H,SI1,62.6,56.0,6.58,6.52,4.1,4826
18504,0.31,Premium,E,VVS1,62.0,59.0,4.34,4.3,2.68,1012
13069,0.44,Premium,E,SI1,62.2,60.0,4.86,4.79,3.0,1040
2553,1.02,Ideal,E,VS1,62.2,54.0,6.44,6.46,4.01,8011
21905,1.12,Premium,G,SI2,62.8,58.0,6.62,6.57,4.14,4478
4670,0.57,Very Good,G,VS1,59.9,57.0,5.38,5.47,3.25,1934
1787,0.3,Ideal,I,VS2,62.1,54.0,4.32,4.35,2.69,438
8684,1.91,Premium,G,SI2,61.9,58.0,7.9,7.84,4.87,9038
22312,0.91,Premium,F,SI2,62.5,56.0,6.21,6.15,3.86,3822
11218,0.31,Very Good,D,VS2,61.8,57.0,4.36,4.41,2.71,734
21866,0.75,Fair,F,SI1,64.6,57.0,5.7,5.67,3.67,2700
6612,1.02,Ideal,H,SI1,61.7,57.0,6.45,6.48,3.99,5047
12569,1.24,Ideal,I,SI1,62.1,56.0,6.84,6.88,4.26,5797
20777,0.48,Good,G,VS1,58.2,59.2,5.09,5.14,2.98,1228
12010,2.08,Good,I,SI2,57.0,63.0,8.49,8.45,4.83,11313
8259,0.27,Ideal,H,VS1,62.2,56.0,4.12,4.15,2.57,449
16137,0.34,Ideal,G,VS1,60.6,57.0,4.52,4.57,2.75,720
25657,1.2,Very Good,G,SI2,62.9,54.0,6.76,6.79,4.26,5321
26954,1.02,Premium,G,SI1,62.3,59.0,6.44,6.4,4.0,4718
21637,1.21,Good,G,VS2,59.1,61.0,6.95,6.89,4.09,7359
21275,1.07,Premium,E,SI2,60.5,59.0,6.59,6.67,4.01,4284
